Borough,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
Brooklyn,Female,Black,7,11,2,28.6,8,12.6
Brooklyn,Female,Latino/Hispanic,2,21.4,0,0,0,0
Brooklyn,Male,Black,17,36.4,5,29.4,11,23.6
Brooklyn,Male,Latino/Hispanic,3,42.5,0,0,2,28.3
Brooklyn,Male,White,1,6,0,0,1,6
Brooklyn,Female,Black,3,32.6,2,66.7,5,54.4
Brooklyn,Female,Latino/Hispanic,1,7,0,0,1,7
Brooklyn,Female,White,3,3.7,1,33.3,2,2.5
Brooklyn,Male,Black,5,83.7,1,20,5,83.7
Brooklyn,Male,Latino/Hispanic,5,37.5,1,20,2,15
Brooklyn,Male,White,5,7.2,0,0,1,1.4
Brooklyn,Female,Black,8,42.5,2,25,6,31.9
Brooklyn,Female,Latino/Hispanic,1,5.7,0,0,1,5.7
Brooklyn,Female,Other/Unknown,1,32.1,0,0,0,0
Brooklyn,Female,White,1,1.5,0,0,1,1.5
Brooklyn,Male,"Asian/Pacific
Islander",1,11.3,0,0,0,0
Brooklyn,Male,Black,10,74.8,1,10,4,29.9
Brooklyn,Male,Latino/Hispanic,3,19.7,0,0,2,13.2
Brooklyn,Male,White,4,6.6,1,25,2,3.3
Brooklyn,Female,Black,16,16.6,3,18.8,12,12.4
Brooklyn,Female,Latino/Hispanic,1,7.6,1,100,2,15.2
Brooklyn,Female,White,1,5,0,0,1,5
Brooklyn,Male,Black,45,61.4,8,17.8,27,36.9
Brooklyn,Male,Latino/Hispanic,14,122.8,3,21.4,4,35.1
Brooklyn,Male,Other/Unknown,3,190.7,0,0,0,0
Brooklyn,Male,White,8,40.8,0,0,0,0
Brooklyn,Female,Black,8,17,1,12.5,6,12.8
Brooklyn,Female,Latino/Hispanic,1,3.4,0,0,2,6.9
Brooklyn,Male,"Asian/Pacific
Islander",1,25,0,0,1,25
Brooklyn,Male,Black,35,97.5,3,8.6,18,50.1
Brooklyn,Male,Latino/Hispanic,15,58.8,1,6.7,7,27.4
Brooklyn,Male,Other/Unknown,2,291.1,0,0,0,0
Brooklyn,Male,White,3,97.3,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",1,32,1,100,1,32
Brooklyn,Male,Latino/Hispanic,5,40.2,0,0,0,0
Brooklyn,Male,Other/Unknown,1,82,0,0,0,0
Brooklyn,Male,White,6,15.3,0,0,0,0
Brooklyn,Female,"Asian/Pacific
Islander",1,5.4,0,0,0,0
Brooklyn,Female,Latino/Hispanic,1,5.1,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",1,5.7,1,100,2,11.4
