Borough,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
Bronx,Male,White,2,111.1,1,50,4,222.1
Bronx,Female,Black,7,28,2,28.6,12,47.9
Bronx,Female,Latino/Hispanic,6,8,1,16.7,4,5.3
Bronx,Female,White,1,12.7,0,0,0,0
Bronx,Male,"Asian/Pacific
Islander",1,25,1,100,2,49.9
Bronx,Male,Black,17,75.7,3,17.6,21,93.5
Bronx,Male,Latino/Hispanic,38,57.6,9,23.7,27,41
Bronx,Female,Black,9,29.6,0,0,6,19.7
Bronx,Female,Latino/Hispanic,7,12,2,28.6,6,10.3
Bronx,Male,Black,11,41.2,4,36.4,15,56.2
Bronx,Male,Latino/Hispanic,37,74.6,10,27,16,32.3
Bronx,Male,White,1,45.3,0,0,1,45.3
Bronx,Female,Black,3,18.4,1,33.3,7,42.9
Bronx,Female,Latino/Hispanic,2,4.9,0,0,3,7.4
Bronx,Female,White,1,93.6,0,0,1,93.6
Bronx,Male,Black,15,102.6,0,0,8,54.7
Bronx,Male,Latino/Hispanic,19,52.4,2,10.5,13,35.9
Bronx,Male,White,4,347.5,0,0,2,173.8
Bronx,Female,Latino/Hispanic,2,10,0,0,1,5
Bronx,Male,Black,2,48.2,1,50,2,48.2
Bronx,Male,Latino/Hispanic,8,51,0,0,0,0
Bronx,Female,Black,14,24.3,6,42.9,8,13.9
Bronx,Female,Latino/Hispanic,3,11.9,0,0,3,11.9
Bronx,Male,"Asian/Pacific
Islander",1,25.6,0,0,0,0
Bronx,Male,Black,25,54.8,2,8,15,32.9
Bronx,Male,Latino/Hispanic,8,38.7,1,12.5,4,19.4
Bronx,Male,Other/Unknown,1,80.6,0,0,0,0
Bronx,Male,White,1,13.9,0,0,0,0
Bronx,Female,Black,8,29.4,1,12.5,4,14.7
Bronx,Female,Latino/Hispanic,2,2.8,1,50,5,7
Bronx,Male,"Asian/Pacific
Islander",2,18.1,1,50,1,9.1
Bronx,Male,Black,14,61.1,6,42.9,16,69.8
Bronx,Male,Latino/Hispanic,20,32.3,2,10,9,14.6
Bronx,Male,White,4,19.8,1,25,1,5
Brooklyn,Female,"Asian/Pacific
Islander",3,2,1,33.3,1,0.7
Brooklyn,Female,Black,49,13.1,9,18.4,54,14.5
Brooklyn,Female,Latino/Hispanic,15,7.1,2,13.3,13,6.2
Brooklyn,Female,Other/Unknown,1,4.5,0,0,0,0
Brooklyn,Female,White,5,1.2,1,20,3,0.7
Brooklyn,Male,"Asian/Pacific
Islander",22,16.4,5,22.7,5,3.7
Brooklyn,Male,Black,198,68.7,40,20.2,107,37.1
Brooklyn,Male,Latino/Hispanic,77,39.3,20,26,44,22.4
Brooklyn,Male,Other/Unknown,4,21.6,1,25,2,10.8
Brooklyn,Male,White,42,10.7,7,16.7,17,4.3
Brooklyn,Female,Black,9,9.3,2,22.2,13,13.5
Brooklyn,Female,Latino/Hispanic,7,33.1,0,0,2,9.4
Brooklyn,Female,White,1,3.3,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",3,61.4,0,0,1,20.5
Brooklyn,Male,Black,73,98.4,20,27.4,40,53.9
Brooklyn,Male,Latino/Hispanic,15,87.2,3,20,6,34.9
Brooklyn,Male,Other/Unknown,1,39.5,0,0,0,0
Brooklyn,Male,White,6,19.7,2,33.3,5,16.4
Brooklyn,Female,"Asian/Pacific
Islander",1,3.7,0,0,0,0
Brooklyn,Female,Black,1,51,0,0,0,0
Brooklyn,Female,White,2,4.1,1,50,1,2
Brooklyn,Male,"Asian/Pacific
Islander",2,8,0,0,0,0
Brooklyn,Male,Latino/Hispanic,1,7.1,0,0,1,7.1
Brooklyn,Female,"Asian/Pacific
Islander",1,3.1,1,100,1,3.1
Brooklyn,Female,Black,2,29.4,0,0,0,0
Brooklyn,Female,White,1,1.3,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",2,6.2,1,50,1,3.1
Brooklyn,Male,Black,5,88.5,0,0,2,35.4
Brooklyn,Male,Latino/Hispanic,1,5.8,0,0,0,0
Brooklyn,Male,White,3,4.2,0,0,1,1.4
Brooklyn,Female,"Asian/Pacific
Islander",1,19.2,0,0,0,0
Brooklyn,Female,Black,8,12.3,1,12.5,4,6.2
Brooklyn,Female,Latino/Hispanic,1,10.6,1,100,1,10.6
Brooklyn,Male,Black,16,33.1,3,18.8,7,14.5
Brooklyn,Male,Latino/Hispanic,3,41.5,0,0,0,0
Brooklyn,Male,White,1,6.1,0,0,0,0
Brooklyn,Female,Black,2,20.8,0,0,2,20.8
Brooklyn,Female,Latino/Hispanic,2,13.7,0,0,1,6.8
Brooklyn,Female,White,1,1.2,0,0,2,2.4
Brooklyn,Male,"Asian/Pacific
Islander",5,21.4,1,20,1,4.3
Brooklyn,Male,Black,5,79.3,0,0,4,63.5
Brooklyn,Male,Latino/Hispanic,2,14.6,0,0,3,21.9
Brooklyn,Male,White,8,11.1,3,37.5,5,6.9
Brooklyn,Female,Black,2,10.8,1,50,4,21.7
Brooklyn,Female,Latino/Hispanic,1,5.5,0,0,1,5.5
Brooklyn,Male,"Asian/Pacific
Islander",1,10.2,1,100,1,10.2
Brooklyn,Male,Black,8,60.2,0,0,4,30.1
Brooklyn,Male,Latino/Hispanic,6,37.5,1,16.7,3,18.7
Brooklyn,Male,White,4,6.2,0,0,1,1.6
Brooklyn,Female,Black,16,16.5,2,12.5,14,14.4
Brooklyn,Female,Latino/Hispanic,1,7.2,0,0,2,14.4
Brooklyn,Female,Other/Unknown,1,34.7,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",2,49.6,1,50,1,24.8
Brooklyn,Male,Black,32,42.7,9,28.1,22,29.3
Brooklyn,Male,Latino/Hispanic,8,65.9,3,37.5,5,41.2
Brooklyn,Male,Other/Unknown,1,46.3,0,0,0,0
Brooklyn,Male,White,3,14.5,0,0,1,4.8
Brooklyn,Female,Black,6,12.5,3,50,10,20.8
Brooklyn,Female,Latino/Hispanic,2,6.5,1,50,3,9.7
Brooklyn,Male,"Asian/Pacific
Islander",1,23,0,0,0,0
Brooklyn,Male,Black,30,80.2,5,16.7,15,40.1
Brooklyn,Male,Latino/Hispanic,15,54.9,5,33.3,7,25.6
Brooklyn,Male,White,3,91.5,1,33.3,2,61
Brooklyn,Female,Black,1,40.5,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",1,27.1,1,100,0,0
Brooklyn,Male,Black,2,84.9,0,0,1,42.5
Brooklyn,Male,Latino/Hispanic,3,23.3,1,33.3,2,15.5
Brooklyn,Male,White,3,7.9,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",2,11.5,0,0,0,0
Brooklyn,Male,Black,1,51,0,0,0,0
Brooklyn,Male,Latino/Hispanic,4,18.2,1,25,4,18.2
Brooklyn,Male,White,1,10.8,0,0,0,0
Brooklyn,Female,Black,2,7.6,0,0,6,22.8
Brooklyn,Female,Latino/Hispanic,1,2.6,0,0,2,5.1
Brooklyn,Male,"Asian/Pacific
Islander",3,56.2,0,0,0,0
Brooklyn,Male,Black,26,120.7,3,11.5,11,51.1
Brooklyn,Male,Latino/Hispanic,19,52.6,6,31.6,13,36
Brooklyn,Male,Other/Unknown,2,139.4,1,50,1,69.7
Brooklyn,Male,White,10,40.5,1,10,1,4.1
Manhattan,Female,"Asian/Pacific
Islander",1,1,0,0,0,0
Manhattan,Female,Black,17,18.1,3,17.6,18,19.2
Manhattan,Female,Latino/Hispanic,9,4.9,2,22.2,11,6
Manhattan,Female,White,3,0.9,0,0,3,0.9
Manhattan,Male,"Asian/Pacific
Islander",12,15.3,3,25,3,3.8
Manhattan,Male,Black,111,134.6,20,18,61,74
Manhattan,Male,Latino/Hispanic,85,51,17,20,57,34.2
Manhattan,Male,Other/Unknown,4,33.2,2,50,2,16.6
Manhattan,Male,White,66,20.7,10,15.2,36,11.3
Manhattan,Female,Black,6,14.5,0,0,7,16.9
Manhattan,Female,Latino/Hispanic,1,5,0,0,0,0
Manhattan,Female,White,1,7.5,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,24.2,1,100,1,24.2
Manhattan,Male,Black,33,95.3,6,18.2,21,60.7
Manhattan,Male,Latino/Hispanic,14,82.2,5,35.7,11,64.6
Manhattan,Male,Other/Unknown,1,63,1,100,1,63
Manhattan,Male,White,6,45.4,0,0,4,30.2
Manhattan,Female,"Asian/Pacific
Islander",1,7.6,0,0,0,0
Manhattan,Female,Black,1,32.1,0,0,0,0
Manhattan,Female,White,1,2.6,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",2,18.4,0,0,0,0
Manhattan,Male,Black,14,368.1,2,14.3,7,184
Manhattan,Male,Latino/Hispanic,17,146.1,3,17.6,11,94.5
Manhattan,Male,Other/Unknown,1,63.6,0,0,0,0
Manhattan,Male,White,23,51.6,5,21.7,15,33.6
Manhattan,Female,Black,4,25.6,1,25,5,31.9
Manhattan,Female,Latino/Hispanic,1,4.6,0,0,3,13.7
Manhattan,Male,"Asian/Pacific
Islander",1,23.9,0,0,0,0
Manhattan,Male,Black,13,101,3,23.1,4,31.1
Manhattan,Male,Latino/Hispanic,11,55.3,3,27.3,9,45.2
Manhattan,Male,White,2,28.9,1,50,1,14.4
Manhattan,Female,Black,1,39.1,0,0,0,0
Manhattan,Female,Latino/Hispanic,1,15.7,1,100,1,15.7
Manhattan,Male,"Asian/Pacific
Islander",2,23.8,0,0,0,0
Manhattan,Male,Black,9,287.9,3,33.3,3,96
Manhattan,Male,Latino/Hispanic,6,99.6,2,33.3,4,66.4
Manhattan,Male,White,6,16.1,1,16.7,4,10.7
Manhattan,Female,Black,1,166.2,0,0,0,0
Manhattan,Male,Latino/Hispanic,1,32.3,0,0,0,0
Manhattan,Male,White,4,16.2,0,0,1,4
Manhattan,Male,Black,2,131.2,1,50,2,131.2
Manhattan,Male,White,2,12.9,0,0,1,6.4
Manhattan,Male,"Asian/Pacific
Islander",2,10.2,0,0,0,0
Manhattan,Male,Black,7,126.2,1,14.3,4,72.1
Manhattan,Male,Latino/Hispanic,6,40.1,2,33.3,3,20
Manhattan,Male,Other/Unknown,2,122.5,1,50,1,61.3
Manhattan,Male,White,4,11.1,1,25,5,13.9
Manhattan,Female,Black,1,36,0,0,0,0
Manhattan,Female,White,1,1.3,0,0,1,1.3
Manhattan,Male,"Asian/Pacific
Islander",2,22.6,1,50,1,11.3
Manhattan,Male,Black,6,249.1,2,33.3,3,124.6
Manhattan,Male,Latino/Hispanic,4,47.5,1,25,1,11.9
Manhattan,Male,White,6,10.1,1,16.7,3,5
Manhattan,Female,Black,1,15.7,1,100,3,47.2
Manhattan,Female,Latino/Hispanic,1,6.1,0,0,0,0
Manhattan,Male,Black,9,182.9,1,11.1,6,121.9
Manhattan,Male,Latino/Hispanic,3,21.8,0,0,2,14.5
Manhattan,Male,White,8,13.7,1,12.5,1,1.7
Manhattan,Female,Black,2,14.3,1,50,2,14.3
Manhattan,Female,Latino/Hispanic,5,6.7,1,20,3,4
Manhattan,Male,"Asian/Pacific
Islander",1,26.2,0,0,0,0
Manhattan,Male,Black,18,143.8,1,5.6,9,71.9
Manhattan,Male,Latino/Hispanic,23,33.3,1,4.3,14,20.2
Manhattan,Male,White,5,21.9,0,0,1,4.4
Queens,Female,"Asian/Pacific
Islander",3,1.1,2,66.7,5,1.8
Queens,Female,Black,25,12.7,7,28,18,9.1
Queens,Female,Latino/Hispanic,20,7.4,3,15,7,2.6
Queens,Female,Other/Unknown,3,13.4,1,33.3,2,8.9
Queens,Male,"Asian/Pacific
Islander",33,12.7,8,24.2,20,7.7
Queens,Male,Black,62,37.3,10,16.1,39,23.4
Queens,Male,Latino/Hispanic,124,45.2,29,23.4,73,26.6
Queens,Male,Other/Unknown,3,14.5,0,0,3,14.5
Queens,Male,White,21,8.4,3,14.3,13,5.2
Queens,Female,"Asian/Pacific
Islander",1,1.6,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",3,5.4,1,33.3,3,5.4
Queens,Male,Black,3,161.2,0,0,0,0
Queens,Male,Latino/Hispanic,5,25.7,2,40,4,20.6
Queens,Male,White,1,3.4,0,0,2,6.9
Queens,Male,Black,4,153.8,1,25,1,38.5
Queens,Male,Latino/Hispanic,1,14.5,1,100,1,14.5
Queens,Female,Black,14,17.6,6,42.9,10,12.6
Queens,Female,Latino/Hispanic,2,9,0,0,1,4.5
Queens,Female,Other/Unknown,1,23,0,0,1,23
Queens,Male,"Asian/Pacific
Islander",5,16.9,1,20,1,3.4
Queens,Male,Black,21,32.7,5,23.8,12,18.7
Queens,Male,Latino/Hispanic,12,53.5,3,25,8,35.7
Queens,Male,White,3,29.8,1,33.3,1,9.9
Queens,Female,Black,3,55,1,33.3,3,55
Queens,Female,Latino/Hispanic,2,9,1,50,3,13.6
Queens,Male,"Asian/Pacific
Islander",4,25.7,1,25,3,19.3
Queens,Male,Black,6,133.9,1,16.7,5,111.6
Queens,Male,Latino/Hispanic,20,93.3,3,15,9,42
Queens,Male,White,7,15.1,1,14.3,4,8.6
Queens,Female,Black,1,34.3,0,0,0,0
Queens,Female,Latino/Hispanic,5,14.8,1,20,2,5.9
Queens,Male,Black,3,114.7,1,33.3,1,38.2
Queens,Male,Latino/Hispanic,14,45.5,4,28.6,7,22.8
Queens,Male,Other/Unknown,1,61.5,0,0,2,123.1
Queens,Male,White,7,12.9,1,14.3,3,5.5
Queens,Female,Black,1,4.5,0,0,0,0
Queens,Female,Latino/Hispanic,1,7.9,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",1,34.1,0,0,1,34.1
Queens,Male,Black,8,44.7,1,12.5,4,22.4
Queens,Male,Latino/Hispanic,3,25.2,0,0,2,16.8
Queens,Female,Black,3,5.2,0,0,3,5.2
Queens,Female,Other/Unknown,2,78.9,1,50,1,39.5
Queens,Male,"Asian/Pacific
Islander",1,6.1,0,0,1,6.1
Queens,Male,Black,9,18.7,1,11.1,4,8.3
Queens,Male,Other/Unknown,1,43.3,0,0,0,0
Queens,Male,White,1,9.9,0,0,0,0
Queens,Female,Black,2,16,0,0,1,8
Queens,Female,Latino/Hispanic,3,7.4,1,33.3,1,2.5
Queens,Male,"Asian/Pacific
Islander",5,13.3,0,0,2,5.3
Queens,Male,Black,2,17.2,0,0,2,17.2
Queens,Male,Latino/Hispanic,14,35.4,3,21.4,5,12.6
Queens,Male,Other/Unknown,1,20.7,0,0,0,0
Queens,Male,White,1,4.2,0,0,3,12.7
Queens,Female,"Asian/Pacific
Islander",2,3.7,2,100,2,3.7
Queens,Female,Black,1,10.6,0,0,1,10.6
Queens,Female,Latino/Hispanic,7,7.6,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",14,27.3,5,35.7,7,13.7
Queens,Male,Black,6,51.6,0,0,9,77.4
Queens,Male,Latino/Hispanic,55,51.9,13,23.6,36,34
Queens,Male,White,1,3.2,0,0,0,0
"Staten
Island",Female,Black,7,34.6,3,42.9,9,44.5
"Staten
Island",Female,Latino/Hispanic,1,2.7,0,0,4,10.7
"Staten
Island",Female,White,4,3.1,2,50,2,1.6
"Staten
Island",Male,"Asian/Pacific
Islander",2,8.2,0,0,0,0
"Staten
Island",Male,Black,11,63.2,1,9.1,3,17.2
"Staten
Island",Male,Latino/Hispanic,9,25,3,33.3,6,16.7
"Staten
Island",Male,White,6,4.9,1,16.7,4,3.3
"Staten
Island",Female,Black,1,12.5,1,100,4,50.2
"Staten
Island",Female,White,2,22,1,50,1,11
"Staten
Island",Male,Black,4,58.7,0,0,0,0
"Staten
Island",Male,Latino/Hispanic,2,19.6,1,50,2,19.6
"Staten
Island",Female,Black,2,162,1,50,1,81
"Staten
Island",Female,Latino/Hispanic,1,9.6,0,0,0,0
"Staten
Island",Female,White,1,1.5,1,100,1,1.5
"Staten
Island",Male,Latino/Hispanic,2,20.3,1,50,2,20.3
"Staten
Island",Male,White,4,6.3,1,25,1,1.6
"Staten
Island",Female,Black,4,41.8,1,25,4,41.8
"Staten
Island",Male,Black,7,86,1,14.3,3,36.9
"Staten
Island",Male,Latino/Hispanic,4,38.4,1,25,2,19.2
"Staten
Island",Male,White,2,7.7,0,0,0,0
"Staten
Island",Female,White,1,4,0,0,0,0
"Staten
Island",Male,"Asian/Pacific
Islander",2,24.2,0,0,0,0
"Staten
Island",Male,Latino/Hispanic,1,18.2,0,0,0,0
